key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
p96w4a,360912,2022-05-07T19:38:34Z,120,07593b20-c5be-4aa6-a7f9-3cb3009e079e,215.0,eau,,eau
p96w4a,360915,2022-05-07T19:57:55Z,120,bbd03934-4660-41b0-a2b5-cd4d92766f0d,80.0,eau,,eau
p96w4a,360930,2022-05-07T20:49:46Z,120,33ce77d5-6d24-4e45-bffb-2aa8a7cbd5f4,26.0,sirop,,"sirop, eau"
p96w4a,360930,2022-05-07T20:49:46Z,120,33ce77d5-6d24-4e45-bffb-2aa8a7cbd5f4,229.0,eau,,"sirop, eau"
p96w4a,360992,2022-05-08T07:50:03Z,120,df716541-77d9-493f-a69b-8cf20719be25,293.0,café au lait,,"café au lait, cacao, café au lait, cacao"
p96w4a,360993,2022-05-08T07:51:37Z,120,c2971176-35d0-4098-b9d6-eed9b040fb4f,201.0,eau,,eau
p96w4a,361055,2022-05-08T10:24:19Z,120,e723a10e-29dc-452b-9e25-d166215dcd2a,77.0,vin rouge,brunch,vin rouge
p96w4a,361056,2022-05-08T10:26:00Z,120,df716541-77d9-493f-a69b-8cf20719be25,280.0,café au lait,brunch ,"café au lait, cacao, café au lait, cacao"
p96w4a,361090,2022-05-08T11:36:34Z,120,cdb158f4-11fe-46ca-b597-c1898b559d58,189.0,thé ,,thé 
p96w4a,361164,2022-05-08T15:49:10Z,120,6861fd64-0052-452e-919d-f173bfa03275,277.0,thé ,,thé 
p96w4a,361239,2022-05-08T18:45:26Z,120,561f3df3-d5b2-4328-b7f8-014b4be461b3,233.0,eau,,eau
p96w4a,361264,2022-05-08T19:39:00Z,120,a9174b8f-09ee-44c3-868a-f287a3f247b3,365.0,eau,,eau
p96w4a,361402,2022-05-09T08:31:34Z,120,5ab475b4-42bf-4e4c-a30b-035fb7486d2f,290.0,café ,,"café , cacao"
p96w4a,361439,2022-05-09T09:58:39Z,120,ccccd783-22e5-49ad-a1a0-206059d151f8,307.0,eau,,eau
p96w4a,361519,2022-05-09T12:27:13Z,120,4d08d54e-5412-44bc-b1e9-f65413acf5d2,15.0,sirop,,"sirop, eau"
p96w4a,361519,2022-05-09T12:27:13Z,120,4d08d54e-5412-44bc-b1e9-f65413acf5d2,333.0,eau,,"sirop, eau"
